TSRF,RPM ,RAD,BLA,CHR,SEC,BPA
0.5 ,20,1.7,3 ,0.25,5,012.0000
0.5 ,20,1.7,3 ,0.25,5,016.3333
0.5 ,20,1.7,3 ,0.25,5,020.6667
0.5 ,20,1.7,3 ,0.25,5,025.0000
0.5 ,20,1.7,3 ,0.25,5,026.6667
0.5 ,20,1.7,3 ,0.25,5,028.3333
0.5 ,20,1.7,3 ,0.25,5,030.0000
0.5 ,20,1.7,3 ,0.25,5,033.3333
0.5 ,20,1.7,3 ,0.25,5,036.6667
0.5 ,20,1.7,3 ,0.25,5,040.0000
0.5 ,20,1.7,3 ,0.25,5,044.0000
0.5 ,20,1.7,3 ,0.25,5,048.0000
0.5 ,20,1.7,3 ,0.25,5,052.0000
0.5 ,20,1.7,3 ,0.25,5,048.0000
0.5 ,20,1.7,3 ,0.25,5,044.0000
0.5 ,20,1.7,3 ,0.25,5,040.0000
0.5 ,20,1.7,3 ,0.25,5,022.6667
0.5 ,20,1.7,3 ,0.25,5,005.3333
0.5 ,20,1.7,3 ,0.25,5,-012.0000
0.5 ,20,1.7,3 ,0.25,5,-021.3333
0.5 ,20,1.7,3 ,0.25,5,-030.6667
0.5 ,20,1.7,3 ,0.25,5,-040.0000
0.5 ,20,1.7,3 ,0.25,5,-044.0000
0.5 ,20,1.7,3 ,0.25,5,-048.0000
0.5 ,20,1.7,3 ,0.25,5,-052.0000
0.5 ,20,1.7,3 ,0.25,5,-048.0000
0.5 ,20,1.7,3 ,0.25,5,-044.0000
0.5 ,20,1.7,3 ,0.25,5,-040.0000
0.5 ,20,1.7,3 ,0.25,5,-036.6667
0.5 ,20,1.7,3 ,0.25,5,-033.3333
0.5 ,20,1.7,3 ,0.25,5,-030.0000
0.5 ,20,1.7,3 ,0.25,5,-028.3333
0.5 ,20,1.7,3 ,0.25,5,-026.6667
0.5 ,20,1.7,3 ,0.25,5,-025.0000
0.5 ,20,1.7,3 ,0.25,5,-012.6667
0.5 ,20,1.7,3 ,0.25,5,-000.3333
0.5 ,20,1.7,3 ,0.25,5,012.0000
